sampleId	seedInit	solverName	signifDigits	piHat	OFtol	error	isCensored	numThrows	runtime
100	20621	Needles_3	2	3.14	0.005	0.00291631101641	False	199	0.1067
101	50597	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1465
102	17822	Needles_3	3	3.142	0.0005	0.000444650617061	False	1299	0.7133
103	58843	Needles_3	3	3.142	0.0005	0.000485302926261	False	517	0.2847
104	3261	Needles_3	3	3.142	0.0005	4.34964166107e-05	False	2212	1.2102
105	46842	Needles_3	3	3.142	0.0005	0.000301019306035	False	529	0.2874
106	31028	Needles_3	3	3.142	0.0005	0.000494742512425	False	1291	0.7092
107	52078	Needles_3	3	3.141	0.0005	0.000355080326224	False	1730	0.9652
108	29180	Needles_3	3	3.142	0.0005	0.000494742512425	False	1291	0.7047
109	17138	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1446
110	34818	Needles_3	3	3.142	0.0005	0.000497893930224	False	2581	1.4373
111	38044	Needles_3	3	3.142	0.0005	0.00049754365179	False	2323	1.3128
112	22564	Needles_3	3	3.142	0.0005	0.000485302926261	False	517	0.3029
113	62298	Needles_3	3	3.142	0.0005	0.000493167721117	False	1033	0.568
114	50920	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1464
115	49836	Needles_3	3	3.141	0.0005	0.000188643080556	False	2537	1.4129
116	47280	Needles_3	3	3.142	0.0005	0.000496543022849	False	1807	1.0086
117	30523	Needles_3	3	3.142	0.0005	0.000485302926261	False	517	0.2864
118	54218	Needles_3	3	3.142	0.0005	0.000490544427102	False	775	0.4255
119	23714	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1412
120	8917	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1424
121	16868	Needles_3	3	3.142	0.0005	6.09002887773e-05	False	1091	0.65
122	28251	Needles_3	3	3.141	0.0005	0.000278538413539	False	856	0.5141
123	22728	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1455
124	12565	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1442
125	21105	Needles_3	3	3.142	0.0005	0.000490544427102	False	775	0.4823
126	18232	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1407
127	40552	Needles_3	3	3.142	0.0005	0.000493167721117	False	1033	0.6104
128	8487	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1822
129	6429	Needles_3	3	3.142	0.0005	0.000485302926261	False	517	0.2964
130	3666	Needles_3	3	3.142	0.0005	2.08022668469e-06	False	825	0.45
131	1712	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1436
132	49698	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1376
133	23585	Needles_3	3	3.141	0.0005	9.67918438795e-05	False	3063	1.7113
134	9711	Needles_3	3	3.142	0.0005	4.34964166107e-05	False	2212	1.2733
135	3502	Needles_3	3	3.142	0.0005	0.000241440045745	False	533	0.2921
136	2492	Needles_3	3	3.142	0.0005	0.000485302926261	False	517	0.2853
137	62168	Needles_3	3	3.141	0.0005	0.000295686822326	False	286	0.1609
138	27959	Needles_3	3	3.141	0.0005	0.000176462335728	False	1970	1.1143
139	37131	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1426
140	3284	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1442
141	43914	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1433
142	2589	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1409
143	55644	Needles_3	3	3.142	0.0005	0.000496543022849	False	1807	0.9984
144	43084	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1418
145	4932	Needles_3	3	3.142	0.0005	0.000493167721117	False	1033	0.5704
146	19756	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1562
147	26668	Needles_3	3	3.141	0.0005	0.000396917751615	False	290	0.1641
148	56786	Needles_3	3	3.142	0.0005	0.000485302926261	False	517	0.2858
149	62739	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1417
150	48016	Needles_3	3	3.141	0.0005	0.000141081121779	False	2801	1.547
151	59512	Needles_3	3	3.142	0.0005	0.000346299922377	False	1315	0.7523
152	60624	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1409
153	28327	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1428
154	30418	Needles_3	3	3.142	0.0005	0.000494742512425	False	1291	0.7087
155	6081	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1431
156	26659	Needles_3	3	3.142	0.0005	0.000485302926261	False	517	0.2871
157	23725	Needles_3	3	3.142	0.0005	8.2125908853e-05	False	816	0.4518
158	24818	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1504
159	28724	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1433
160	36097	Needles_3	3	3.142	0.0005	0.000490544427102	False	775	0.4674
161	26386	Needles_3	3	3.142	0.0005	0.000139305487688	False	270	0.1499
162	16319	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1673
